"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","disease state:ch1","tissue:ch1","group"
"GSM1555075","cervical cancer tissue/cells (A101_Ce36)","GSM1555075","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","cervical cancer tissue/cells","Homo sapiens","tissue: cervix","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from cervical carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555075/suppl/GSM1555075_cc_A101_Ce36.CEL.gz","22277","carcinoma","cervix","cancer"
"GSM1555076","cervical cancer tissue/cells (A107_Ce38)","GSM1555076","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","cervical cancer tissue/cells","Homo sapiens","tissue: cervix","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from cervical carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555076/suppl/GSM1555076_cc_A107_Ce38.CEL.gz","22277","carcinoma","cervix","cancer"
"GSM1555077","cervical cancer tissue/cells (D236_MC35)","GSM1555077","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","cervical cancer tissue/cells","Homo sapiens","tissue: cervix","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from cervical carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555077/suppl/GSM1555077_cc_D236_MC35_HG-U133A_2_.CEL.gz","22277","carcinoma","cervix","cancer"
"GSM1555078","cervical cancer tissue/cells (D237_MC4)","GSM1555078","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","cervical cancer tissue/cells","Homo sapiens","tissue: cervix","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from cervical carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555078/suppl/GSM1555078_cc_D237_MC4_HG-U133A_2_.CEL.gz","22277","carcinoma","cervix","cancer"
"GSM1555079","cervical cancer tissue/cells (D399_T67-MC1)","GSM1555079","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","cervical cancer tissue/cells","Homo sapiens","tissue: cervix","disease state: carcinoma","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from cervical carcinoma tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555079/suppl/GSM1555079_cc_D399_T67-MC1_HG-U133A_2_.CEL.gz","22277","carcinoma","cervix","cancer"
"GSM1555080","normal cervical tissue/cells (A102_CeN11)","GSM1555080","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal cervical tissue/cells","Homo sapiens","tissue: cervix","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal cervical tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555080/suppl/GSM1555080_cn_A102_CeN11.CEL.gz","22277","normal","cervix","normal"
"GSM1555081","normal cervical tissue/cells (A140_CeN12)","GSM1555081","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal cervical tissue/cells","Homo sapiens","tissue: cervix","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal cervical tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555081/suppl/GSM1555081_cn_A140_CeN12.CEL.gz","22277","normal","cervix","normal"
"GSM1555082","normal cervical tissue/cells (D240_MCN7)","GSM1555082","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal cervical tissue/cells","Homo sapiens","tissue: cervix","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal cervical tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555082/suppl/GSM1555082_cn_D240_MCN7_HG-U133A_2_.CEL.gz","22277","normal","cervix","normal"
"GSM1555083","normal cervical tissue/cells (D241_MCN17)","GSM1555083","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal cervical tissue/cells","Homo sapiens","tissue: cervix","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal cervical tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555083/suppl/GSM1555083_cn_D241_MCN17_HG-U133A_2_.CEL.gz","22277","normal","cervix","normal"
"GSM1555084","normal cervical tissue/cells (xD242_MCN_18)","GSM1555084","Public on Jul 26 2015","Nov 26 2014","Jul 26 2015","RNA","1","normal cervical tissue/cells","Homo sapiens","tissue: cervix","disease state: normal","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).","9606","Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on GeneChip Drosophila Genome Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.","GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.","Gene expression data from normal cervical tissue/cells","The data were analyzed with R/Bioconductor RMA algorithm. Data were log2 transformed","GPL571","Prokopios Alexandros,,Polyzos","app2006@med.cornell.edu","Weill Cornell Medicine","413 E 69th St","New York","10021","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1555nnn/GSM1555084/suppl/GSM1555084_cn_xD242_MCN_18_HG-U133A_2_.CEL.gz","22277","normal","cervix","normal"
